samples,mix,day,strain,s9,exp,intercept,slope,slope_se,p_value,r_squared,n,max_fold_dmso,positive
abiotic,1,0,TA98,no,1,12.378755132915495,-0.010914199265182624,0.08255318844335263,0.8991418657619621,0.002904701253711308,8,1.3846153846153846,FALSE
abiotic,1,7,TA98,no,1,13.839853036524744,0.023017073697860334,0.059200871898977034,0.7108494689727864,0.024574620038317112,8,1.3846153846153846,FALSE
biotic,1,7,TA98,no,1,16.493084071752754,-0.005078884806570135,0.08648093031296829,0.9550755748707525,5.745068252919231e-4,8,1.6153846153846154,FALSE
abiotic,1,0,TA100,no,2,48.45591095742381,-0.0948778906418848,0.11720218455416337,0.44911819987161206,0.09846665246285431,8,1.1397849462365592,FALSE
abiotic,1,7,TA100,no,2,52.50983358547654,-0.17246596066565847,0.14876144562235433,0.29036364732192166,0.1830157401744614,8,1.2688172043010753,FALSE
biotic,1,7,TA100,no,2,53.40566241625243,0.40728333693537927,0.1695653715458413,0.05315527088540371,0.4901966779209466,8,1.8279569892473118,FALSE
abiotic,2,0,TA98,no,3,24.21795980116706,-0.003998271017938334,0.09634110807684314,0.9682429008521173,2.8697580536123036e-4,8,1.3636363636363635,FALSE
abiotic,2,7,TA98,no,3,24.282040198832934,0.003998271017938039,0.1106132306480616,0.9723381970572775,2.1771306499442523e-4,8,1.4545454545454546,FALSE
biotic,2,7,TA98,no,3,30.032634536416676,-0.02290901231899742,0.11906566060667113,0.8537708422939417,0.0061322103682164,8,1.5909090909090908,FALSE
abiotic,2,0,TA100,no,3,52.08461205964988,-0.14880051869461863,0.13166881778347767,0.3015723141021909,0.17550176808778553,8,1.22,FALSE
abiotic,2,7,TA100,no,3,55.988545493840505,-0.11778690296088185,0.14389156083549295,0.4443130549883801,0.1004598781121761,8,1.3,FALSE
biotic,2,7,TA100,no,3,54.21255673222388,0.1951588502269284,0.17505765496120826,0.30757691045259145,0.17159536684996748,8,1.44,FALSE
abiotic,1,0,TA98,yes,4,48.288199697428134,-0.09304084720121031,0.1427467228140113,0.538687025587232,0.06612312789124383,8,1.4473684210526316,FALSE
abiotic,1,7,TA98,yes,4,39.979360276637124,0.07078020315539198,0.10812558426865877,0.5369889453990748,0.06665856659494174,8,1.2894736842105263,FALSE
biotic,1,7,TA98,yes,4,40.8308839420791,-0.11638210503566039,0.12403045743147627,0.38429086600257695,0.1279668474970964,8,1.236842105263158,FALSE
abiotic,2,0,TA98,yes,4,43.396909444564514,-0.06008212664793629,0.1181127513430298,0.6291314425778928,0.0413436416042729,8,1.3421052631578947,FALSE
abiotic,2,7,TA98,yes,4,44.502485411713856,-0.021612275772638707,0.20315914755261108,0.9187477352480986,0.0018826024192194026,8,1.631578947368421,FALSE
biotic,2,7,TA98,yes,4,41.5704560190188,0.08299113896693312,0.11326083528064028,0.4913373963144023,0.0821355602146967,8,1.3421052631578947,FALSE
biotic,1,3,TA98,yes,7,34.87799870326345,-0.11303220229090145,0.11194171373227306,0.3515913250554525,0.14524776854580182,8,1.1428571428571428,FALSE
biotic,1,14,TA98,yes,7,27.678625459260857,0.18586557164469433,0.0930081469260861,0.0926340916524315,0.39961097903609255,8,1.1428571428571428,FALSE
abiotic,1,14,TA98,yes,7,30.143937756645773,0.07445429003674074,0.1342156837393788,0.599128860545378,0.048786501032158314,8,1.1142857142857143,FALSE
biotic,2,3,TA98,yes,7,29.028960449535333,0.052517830127512384,0.09263610680868566,0.5913258346332018,0.0508439550636873,8,0.9714285714285714,FALSE
biotic,2,14,TA98,yes,7,32.32861465312297,0.07726388588718362,0.08275568704781289,0.38652206512689335,0.1268511559341825,8,1.1714285714285715,FALSE
abiotic,2,14,TA98,yes,7,26.239896261076293,-0.042576183272098826,0.3541825837617286,0.9082413232460653,0.0024026090245211824,8,1.0571428571428572,FALSE
biotic,1,3,TA100,no,8,69.24130105900151,-0.4243570347957647,0.13875818828668274,0.022274966216331033,0.6091939592918896,8,1.5081967213114753,FALSE
biotic,1,14,TA100,no,8,70.15733736762482,-0.2594553706505301,0.20671267136829272,0.2560954590583896,0.20796272573257288,8,1.7049180327868851,FALSE
abiotic,1,14,TA100,no,8,67.19267343851308,-0.13194294359196068,0.13649080437111105,0.37103632362398553,0.13475728492328232,8,1.5737704918032787,FALSE
biotic,2,3,TA100,no,8,63.04322455154527,-0.09325696995893697,0.16387067789245063,0.589947660036872,0.05121270446997297,8,1.5519125683060109,FALSE
biotic,2,14,TA100,no,8,54.90328506591744,0.014912470283120748,0.14176873174240873,0.9196544672985476,0.001840716367683965,8,1.4207650273224044,FALSE
abiotic,2,14,TA100,no,8,64.02625891506375,-0.09790360925005466,0.16355605238290682,0.5713346050207924,0.056353665807210095,8,1.5737704918032787,FALSE
